user_id	H	SD	SH	PD	type_player_numerical
203	1.0100	0.5100	0.0100	0.0100	0.0001
204	1.0100	0.6767	0.5100	0.0100	0.0001
205	1.0100	1.0100	0.0100	0.0100	0.0001
206		0.0100	0.4100	0.0100	
207	1.0100	0.5100	1.0100	0.0100	0.0001
208	1.0100	0.6767	1.0100	0.5100	0.3334
209	1.0100	1.0100	0.2600	0.0100	0.0001
210	1.0100	0.3433	0.2600	0.0100	0.0001
211	1.0100	0.3433	0.6100	0.0100	0.0001
212	1.0100	0.8433	1.0100	1.0100	0.3334
213	1.0100	1.0100	0.8100	1.0100	0.3334
214	1.0100	0.6100	0.4100	0.0100	0.0001
215	0.7600	0.0100	0.3433	0.0100	0.6667
216	1.0100	1.0100	0.6767	0.3433	0.3334
217	0.7600	0.5100	0.5100	0.0100	0.6667
218	0.3433	0.3433	0.0100	0.7600	1.0001
219		0.8433	0.5100	0.6767	
220	1.0100	0.4100	1.0100	0.5100	0.3334
221	1.0100	1.0100	0.5100	0.1767	0.3334
222	0.6767	0.0100	0.3433	0.0100	0.6667
223	0.0100	0.7600	0.6767	0.4100	1.0001
224	0.0100	0.0100	0.0100	0.0100	0.6667
225	0.6767	0.0100	0.0100	0.0100	0.6667
226	1.0100	0.5100	0.2600	0.1529	0.3334
227	0.5100	0.0100	0.5100	0.8100	1.0001
228	1.0100	0.0100	0.5100	0.4100	0.3334
229	1.0100	0.3433	0.0100	0.0100	0.0001
230	1.0100	0.2100	0.3433	0.0100	0.0001
231	0.8671	0.2600		0.0100	0.6667
232	0.0100	0.5100	0.3433	0.0100	0.6667
233	1.0100	0.5100		0.0100	0.0001
234	0.6767	0.6767		0.3433	1.0001
235	0.6100	0.0100	0.6100	0.5100	1.0001
236	0.8433	0.5100	1.0100		
237	0.6100	0.0100	0.5100	0.0100	0.6667
238	1.0100	0.8433	0.0100	0.0100	0.0001
239	1.0100	0.2100	0.5100		
240	1.0100	0.2600	0.2600	0.3433	0.3334
241	0.3433	0.0100	1.0100	0.0100	0.6667
242	1.0100	0.0100	0.2100	0.0100	0.0001
245	0.6100	0.0100		0.0100	0.6667
246	1.0100	0.0100	0.3433	0.0100	0.0001
247	1.0100	0.0100	0.0100	0.0100	0.0001
248			0.3433	0.1767	
249	0.8100		1.0100	0.0100	0.6667
250	1.0100	1.0100	0.0100	0.0100	0.0001
251	1.0100	0.0100	0.3433	1.0100	0.3334
252	1.0100		0.6767	0.4100	0.3334
253	1.0100	0.0100	0.5100	0.0100	0.0001
254	1.0100	0.6767	0.5100	0.0100	0.0001
255	1.0100	1.0100	0.3433	0.5100	0.3334
256	0.7600	0.0100	0.0100	0.0100	0.6667
257	0.6100		0.0100	0.5100	1.0001
258	1.0100	0.5100	0.0100	0.3433	0.3334
259	1.0100	0.2600	0.0100	0.0100	0.0001
261	1.0100	1.0100	1.0100	1.0100	0.3334
263		0.0100	0.0100	0.0100	
266	0.8100	0.0100	0.2600	0.0100	0.6667
270	1.0100	0.6100	0.2600	0.0100	0.0001
272	1.0100	1.0100	0.8100	0.3433	0.3334
275	1.0100	0.0100	0.0100	0.0100	0.0001
276	1.0100	0.0100	0.3433	0.2600	0.3334
277	1.0100	0.5100	0.6767	1.0100	0.3334
278	0.3433	0.3433	0.0100	0.0100	0.6667
279	1.0100	0.2600	0.0100	0.0100	0.0001
280	1.0100	0.8100	1.0100	1.0100	0.3334
281	1.0100	0.0100	0.2600	0.0100	0.0001
282	1.0100	0.0100	0.0100	0.0100	0.0001
283		0.0100	0.0100	0.3433	
284	1.0100	0.6100	0.0100	0.0100	0.0001
285	1.0100	0.8100	0.3433	1.0100	0.3334
286	0.5100	0.0100	0.6767	0.0100	0.6667
287	1.0100	1.0100	0.2600	0.3433	0.3334
288	0.6767	0.5100	0.0100	0.6767	1.0001
289	1.0100	0.0100	0.0100	0.3433	0.3334
290		0.0100	0.0100	0.2600	
291	1.0100	0.0100	0.0100	0.0100	0.0001
292	1.0100	0.7600	0.5100	0.0100	0.0001
293	0.6767	0.0100	0.0100	0.0100	0.6667
294	0.6767		0.7600	0.0100	0.6667
295	1.0100		0.5100	0.0100	0.0001
296	1.0100	0.0100	0.0100		
297	1.0100	0.3433	0.7600	1.0100	0.3334
298	0.7600	0.0100	0.7600	0.0100	0.6667
299	1.0100	1.0100	0.6767	0.3433	0.3334
300	1.0100	0.0100	0.2600	0.0100	0.0001
301	0.6767	0.2100		0.0100	0.6667
302	1.0100	0.5100	0.2600	0.0100	0.0001
303	1.0100		0.3433	0.6100	0.3334
304	1.0100	0.0100	0.2600	0.0100	0.0001
